TimeSeconds,Power [W],CumulativeEnergy,Status
394.0,1.04,406.40000000000117,Not at Work
395.0,1.03,407.43000000000114,Not at Work
396.0,0.99,408.42000000000115,Not at Work
397.0,1.14,409.56000000000114,Not at Work
398.0,0.99,410.55000000000115,Not at Work
399.0,0.97,411.5200000000012,Not at Work
400.0,0.99,412.5100000000012,Not at Work
401.0,1.19,413.7000000000012,Not at Work
402.0,1.16,414.8600000000012,Not at Work
403.0,0.99,415.8500000000012,Not at Work
404.0,0.975,416.82500000000124,Not at Work
405.0,1.05,417.87500000000125,Not at Work
406.0,0.975,418.8500000000013,Not at Work
407.0,1.04,419.8900000000013,Not at Work
408.0,0.99,420.8800000000013,Not at Work
409.0,0.975,421.8550000000013,Not at Work
410.0,1.01,422.8650000000013,Not at Work
411.0,0.97,423.83500000000134,Not at Work
412.0,0.99,424.82500000000135,Not at Work
413.0,1.02,425.84500000000133,Not at Work
414.0,0.98,426.82500000000135,Not at Work
415.0,1.04,427.8650000000014,Not at Work
416.0,0.975,428.8400000000014,Not at Work
417.0,0.99,429.8300000000014,Not at Work
418.0,1.04,430.8700000000014,Not at Work
419.0,1.0,431.8700000000014,Not at Work
420.0,1.01,432.8800000000014,Not at Work
421.0,0.975,433.85500000000144,Not at Work
422.0,0.99,434.84500000000145,Not at Work
423.0,1.02,435.86500000000143,Not at Work
424.0,0.99,436.85500000000144,Not at Work
425.0,0.99,437.84500000000145,Not at Work
426.0,1.04,438.88500000000147,Not at Work
427.0,0.99,439.8750000000015,Not at Work
428.0,1.03,440.90500000000145,Not at Work
429.0,0.995,441.90000000000146,Not at Work
430.0,0.995,442.89500000000146,Not at Work
431.0,1.07,443.96500000000145,Not at Work
432.0,0.99,444.95500000000146,Not at Work
433.0,0.975,445.9300000000015,Not at Work
434.0,0.99,446.9200000000015,Not at Work
435.0,0.975,447.8950000000015,Not at Work
436.0,1.04,448.93500000000154,Not at Work
437.0,0.99,449.92500000000155,Not at Work
438.0,0.975,450.90000000000157,Not at Work
439.0,1.04,451.9400000000016,Not at Work
440.0,0.975,452.9150000000016,Not at Work
441.0,1.05,453.9650000000016,Not at Work
442.0,0.985,454.95000000000164,Not at Work
443.0,0.98,455.93000000000166,Not at Work
444.0,1.01,456.94000000000165,Not at Work
445.0,0.97,457.9100000000017,Not at Work
446.0,1.15,459.06000000000165,Not at Work
447.0,1.0,460.06000000000165,Not at Work
448.0,0.99,461.05000000000166,Not at Work
449.0,1.05,462.10000000000167,Not at Work
450.0,0.975,463.0750000000017,Not at Work
451.0,1.01,464.0850000000017,Not at Work
452.0,1.04,465.1250000000017,Not at Work
453.0,0.99,466.1150000000017,Not at Work
454.0,0.995,467.1100000000017,Not at Work
455.0,0.975,468.08500000000174,Not at Work
456.0,0.99,469.07500000000175,Not at Work
457.0,0.975,470.0500000000018,Not at Work
458.0,0.99,471.0400000000018,Not at Work
459.0,0.975,472.0150000000018,Not at Work
460.0,1.05,473.0650000000018,Not at Work
461.0,0.99,474.0550000000018,Not at Work
462.0,1.22,475.27500000000185,Not at Work
463.0,1.13,476.40500000000185,Not at Work
464.0,0.985,477.39000000000186,Not at Work
465.0,1.01,478.40000000000185,Not at Work
466.0,0.99,479.39000000000186,Not at Work
467.0,0.975,480.3650000000019,Not at Work
468.0,0.99,481.3550000000019,Not at Work
469.0,1.18,482.5350000000019,Not at Work
470.0,1.08,483.6150000000019,Not at Work
471.0,0.985,484.6000000000019,Not at Work
472.0,0.99,485.5900000000019,Not at Work
473.0,1.04,486.6300000000019,Not at Work
474.0,0.985,487.61500000000194,Not at Work
475.0,1.16,488.77500000000197,Not at Work
476.0,0.985,489.760000000002,Not at Work
477.0,0.99,490.750000000002,Not at Work
478.0,0.995,491.745000000002,Not at Work
479.0,0.975,492.720000000002,Not at Work
480.0,1.01,493.730000000002,Not at Work
481.0,1.0,494.730000000002,Not at Work
482.0,0.99,495.720000000002,Not at Work
483.0,1.05,496.770000000002,Not at Work
484.0,1.0,497.770000000002,Not at Work
485.0,1.13,498.900000000002,Not at Work
486.0,1.03,499.930000000002,Not at Work
487.0,0.99,500.920000000002,Not at Work
488.0,1.01,501.930000000002,Not at Work
489.0,0.995,502.925000000002,Not at Work
490.0,1.05,503.975000000002,Not at Work
491.0,0.995,504.970000000002,Not at Work
492.0,1.05,506.020000000002,Not at Work
493.0,0.975,506.99500000000205,Not at Work
494.0,1.06,508.05500000000205,Not at Work
495.0,0.99,509.04500000000206,Not at Work
496.0,1.04,510.0850000000021,Not at Work
497.0,0.99,511.0750000000021,Not at Work
498.0,0.975,512.0500000000021,Not at Work
499.0,1.13,513.1800000000021,Not at Work
500.0,1.02,514.2000000000021,Not at Work
501.0,0.975,515.1750000000021,Not at Work
502.0,0.99,516.1650000000021,Not at Work
503.0,0.97,517.1350000000022,Not at Work
504.0,1.04,518.1750000000021,Not at Work
505.0,0.995,519.1700000000021,Not at Work
506.0,0.99,520.1600000000021,Not at Work
507.0,1.13,521.2900000000021,Not at Work
508.0,0.98,522.2700000000021,Not at Work
509.0,1.05,523.3200000000021,Not at Work
510.0,0.975,524.2950000000021,Not at Work
511.0,0.99,525.2850000000021,Not at Work
512.0,1.01,526.2950000000021,Not at Work
513.0,1.01,527.3050000000021,Not at Work
514.0,0.99,528.2950000000021,Not at Work
515.0,1.15,529.4450000000021,Not at Work
516.0,1.01,530.4550000000021,Not at Work
517.0,1.07,531.5250000000021,Not at Work
518.0,0.98,532.5050000000022,Not at Work
519.0,0.99,533.4950000000022,Not at Work
520.0,1.04,534.5350000000021,Not at Work
521.0,1.01,535.5450000000021,Not at Work
522.0,1.15,536.6950000000021,Not at Work
523.0,1.3,537.995000000002,Not at Work
524.0,0.99,538.9850000000021,Not at Work
525.0,0.975,539.9600000000021,Not at Work
526.0,0.99,540.9500000000021,Not at Work
527.0,0.975,541.9250000000021,Not at Work
528.0,1.05,542.9750000000021,Not at Work
529.0,0.99,543.9650000000021,Not at Work
530.0,1.04,545.005000000002,Not at Work
531.0,1.01,546.015000000002,Not at Work
532.0,0.98,546.995000000002,Not at Work
533.0,1.03,548.025000000002,Not at Work
534.0,0.975,549.000000000002,Not at Work
535.0,0.985,549.9850000000021,Not at Work
536.0,0.99,550.9750000000021,Not at Work
537.0,0.975,551.9500000000021,Not at Work
538.0,1.05,553.000000000002,Not at Work
539.0,0.975,553.9750000000021,Not at Work
540.0,0.99,554.9650000000021,Not at Work
541.0,1.13,556.0950000000021,Not at Work
542.0,0.975,557.0700000000021,Not at Work
543.0,1.09,558.1600000000021,Not at Work
544.0,0.975,559.1350000000022,Not at Work
545.0,0.99,560.1250000000022,Not at Work
546.0,1.03,561.1550000000021,Not at Work
547.0,0.98,562.1350000000022,Not at Work
548.0,1.05,563.1850000000021,Not at Work
549.0,1.15,564.3350000000021,Not at Work
550.0,0.99,565.3250000000021,Not at Work
551.0,1.05,566.375000000002,Not at Work
552.0,0.995,567.370000000002,Not at Work
553.0,1.02,568.390000000002,Not at Work
554.0,1.04,569.430000000002,Not at Work
555.0,0.99,570.420000000002,Not at Work
556.0,1.16,571.580000000002,Not at Work
557.0,1.16,572.7400000000019,Not at Work
558.0,1.01,573.7500000000019,Not at Work
559.0,1.02,574.7700000000019,Not at Work
560.0,0.995,575.7650000000019,Not at Work
561.0,1.04,576.8050000000019,Not at Work
562.0,1.07,577.8750000000019,Not at Work
563.0,0.99,578.8650000000019,Not at Work
564.0,1.08,579.945000000002,Not at Work
